Name	Key	Frames	X	Y	Size
1f004	[0]	1	0	0	0.01757813
1f0cf	[1]	1	0.01757813	0	0.01757813
1f170	[2]	1	0.03515625	0	0.01757813
1f171	[3]	1	0.05273438	0	0.01757813
1f17e	[4]	1	0.0703125	0	0.01757813
1f17f	[5]	1	0.08789063	0	0.01757813
1f18e	[6]	1	0.1054688	0	0.01757813
1f191	[7]	1	0.1230469	0	0.01757813
1f192	[8]	1	0.140625	0	0.01757813
1f193	[9]	1	0.1582031	0	0.01757813
1f194	[A]	1	0.1757813	0	0.01757813
1f195	[B]	1	0.1933594	0	0.01757813
1f196	[C]	1	0.2109375	0	0.01757813
1f197	[D]	1	0.2285156	0	0.01757813
1f198	[E]	1	0.2460938	0	0.01757813
1f199	[F]	1	0.2636719	0	0.01757813
1f19a	[G]	1	0.28125	0	0.01757813
1f1e6-1f1e8	[H]	1	0.2988281	0	0.01757813
1f1e6-1f1e9	[I]	1	0.3164063	0	0.01757813
1f1e6-1f1ea	[J]	1	0.3339844	0	0.01757813
1f1e6-1f1eb	[K]	1	0.3515625	0	0.01757813
1f1e6-1f1ec	[L]	1	0.3691406	0	0.01757813
1f1e6-1f1ee	[M]	1	0.3867188	0	0.01757813
1f1e6-1f1f1	[N]	1	0.4042969	0	0.01757813
1f1e6-1f1f2	[O]	1	0.421875	0	0.01757813
1f1e6-1f1f4	[P]	1	0.4394531	0	0.01757813
1f1e6-1f1f6	[Q]	1	0.4570313	0	0.01757813
1f1e6-1f1f7	[R]	1	0.4746094	0	0.01757813
1f1e6-1f1f8	[S]	1	0.4921875	0	0.01757813
1f1e6-1f1f9	[T]	1	0.5097656	0	0.01757813
1f1e6-1f1fa	[U]	1	0.5273438	0	0.01757813
1f1e6-1f1fc	[V]	1	0.5449219	0	0.01757813
1f1e6-1f1fd	[W]	1	0.5625	0	0.01757813
1f1e6-1f1ff	[X]	1	0.5800781	0	0.01757813
1f1e6	[Y]	1	0.5976563	0	0.01757813
1f1e7-1f1e6	[Z]	1	0.6152344	0	0.01757813
1f1e7-1f1e7	[a]	1	0.6328125	0	0.01757813
1f1e7-1f1e9	[b]	1	0.6503906	0	0.01757813
1f1e7-1f1ea	[c]	1	0.6679688	0	0.01757813
1f1e7-1f1eb	[d]	1	0.6855469	0	0.01757813
1f1e7-1f1ec	[e]	1	0.703125	0	0.01757813
1f1e7-1f1ed	[f]	1	0.7207031	0	0.01757813
1f1e7-1f1ee	[g]	1	0.7382813	0	0.01757813
1f1e7-1f1ef	[h]	1	0.7558594	0	0.01757813
1f1e7-1f1f1	[i]	1	0.7734375	0	0.01757813
1f1e7-1f1f2	[j]	1	0.7910156	0	0.01757813
1f1e7-1f1f3	[k]	1	0.8085938	0	0.01757813
1f1e7-1f1f4	[l]	1	0.8261719	0	0.01757813
1f1e7-1f1f6	[m]	1	0.84375	0	0.01757813
1f1e7-1f1f7	[n]	1	0.8613281	0	0.01757813
1f1e7-1f1f8	[o]	1	0.8789063	0	0.01757813
1f1e7-1f1f9	[p]	1	0.8964844	0	0.01757813
1f1e7-1f1fb	[q]	1	0.9140625	0	0.01757813
1f1e7-1f1fc	[r]	1	0.9316406	0	0.01757813
1f1e7-1f1fe	[s]	1	0.9492188	0	0.01757813
1f1e7-1f1ff	[t]	1	0.9667969	0	0.01757813
1f1e7	[u]	1	0	0.01757813	0.01757813
1f1e8-1f1e6	[v]	1	0.01757813	0.01757813	0.01757813
1f1e8-1f1e8	[w]	1	0.03515625	0.01757813	0.01757813
1f1e8-1f1e9	[x]	1	0.05273438	0.01757813	0.01757813
1f1e8-1f1eb	[y]	1	0.0703125	0.01757813	0.01757813
1f1e8-1f1ec	[z]	1	0.08789063	0.01757813	0.01757813
1f1e8-1f1ed	[10]	1	0.1054688	0.01757813	0.01757813
1f1e8-1f1ee	[11]	1	0.1230469	0.01757813	0.01757813
1f1e8-1f1f0	[12]	1	0.140625	0.01757813	0.01757813
1f1e8-1f1f1	[13]	1	0.1582031	0.01757813	0.01757813
1f1e8-1f1f2	[14]	1	0.1757813	0.01757813	0.01757813
1f1e8-1f1f3	[15]	1	0.1933594	0.01757813	0.01757813
1f1e8-1f1f4	[16]	1	0.2109375	0.01757813	0.01757813
1f1e8-1f1f5	[17]	1	0.2285156	0.01757813	0.01757813
1f1e8-1f1f7	[18]	1	0.2460938	0.01757813	0.01757813
1f1e8-1f1fa	[19]	1	0.2636719	0.01757813	0.01757813
1f1e8-1f1fb	[1A]	1	0.28125	0.01757813	0.01757813
1f1e8-1f1fc	[1B]	1	0.2988281	0.01757813	0.01757813
1f1e8-1f1fd	[1C]	1	0.3164063	0.01757813	0.01757813
1f1e8-1f1fe	[1D]	1	0.3339844	0.01757813	0.01757813
1f1e8-1f1ff	[1E]	1	0.3515625	0.01757813	0.01757813
1f1e8	[1F]	1	0.3691406	0.01757813	0.01757813
1f1e9-1f1ea	[1G]	1	0.3867188	0.01757813	0.01757813
1f1e9-1f1ec	[1H]	1	0.4042969	0.01757813	0.01757813
1f1e9-1f1ef	[1I]	1	0.421875	0.01757813	0.01757813
1f1e9-1f1f0	[1J]	1	0.4394531	0.01757813	0.01757813
1f1e9-1f1f2	[1K]	1	0.4570313	0.01757813	0.01757813
1f1e9-1f1f4	[1L]	1	0.4746094	0.01757813	0.01757813
1f1e9-1f1ff	[1M]	1	0.4921875	0.01757813	0.01757813
1f1e9	[1N]	1	0.5097656	0.01757813	0.01757813
1f1ea-1f1e6	[1O]	1	0.5273438	0.01757813	0.01757813
1f1ea-1f1e8	[1P]	1	0.5449219	0.01757813	0.01757813
1f1ea-1f1ea	[1Q]	1	0.5625	0.01757813	0.01757813
1f1ea-1f1ec	[1R]	1	0.5800781	0.01757813	0.01757813
1f1ea-1f1ed	[1S]	1	0.5976563	0.01757813	0.01757813
1f1ea-1f1f7	[1T]	1	0.6152344	0.01757813	0.01757813
1f1ea-1f1f8	[1U]	1	0.6328125	0.01757813	0.01757813
1f1ea-1f1f9	[1V]	1	0.6503906	0.01757813	0.01757813
1f1ea-1f1fa	[1W]	1	0.6679688	0.01757813	0.01757813
1f1ea	[1X]	1	0.6855469	0.01757813	0.01757813
1f1eb-1f1ee	[1Y]	1	0.703125	0.01757813	0.01757813
1f1eb-1f1ef	[1Z]	1	0.7207031	0.01757813	0.01757813
1f1eb-1f1f0	[1a]	1	0.7382813	0.01757813	0.01757813
1f1eb-1f1f2	[1b]	1	0.7558594	0.01757813	0.01757813
1f1eb-1f1f4	[1c]	1	0.7734375	0.01757813	0.01757813
